"No.","Time","Source","Destination","Protocol","Length","Info","Tcp Flags","Source MAC Address","Destination MAC","Source IP ARP","Destination IP ARP","Time to live","Flags","Delta time","Frame length"
"330","2025-04-18 19:45:45.025712","104.18.41.183","192.168.1.13","TLSv1.2","1261","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.014721000","1261"
"331","2025-04-18 19:45:45.025712","104.18.41.183","192.168.1.13","TLSv1.2","81","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","81"
"332","2025-04-18 19:45:45.025819","192.168.1.13","104.18.41.183","TCP","54","50436  >  443 [ACK] Seq=6187 Ack=7342 Win=509 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000107000","54"
"333","2025-04-18 19:45:45.026190","192.168.1.13","104.18.41.183","TCP","1454","50436  >  443 [ACK] Seq=6187 Ack=7342 Win=509 Len=1400 [TCP segment of a reassembled PDU]","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000371000","1454"
"334","2025-04-18 19:45:45.026190","192.168.1.13","104.18.41.183","TLSv1.2","413","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000000000","413"
"335","2025-04-18 19:45:45.040900","104.18.41.183","192.168.1.13","TCP","54","443  >  50502 [ACK] Seq=2853 Ack=2156 Win=73728 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.014710000","54"
"336","2025-04-18 19:45:45.051570","104.18.41.183","192.168.1.13","TCP","54","443  >  50436 [ACK] Seq=7342 Ack=7587 Win=11 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.010670000","54"
"337","2025-04-18 19:45:45.052127","104.18.41.183","192.168.1.13","TCP","54","443  >  50436 [ACK] Seq=7342 Ack=7946 Win=11 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.000557000","54"
"338","2025-04-18 19:45:45.052830","104.18.41.183","192.168.1.13","TLSv1.3","1494","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000703000","1494"
"339","2025-04-18 19:45:45.052830","104.18.41.183","192.168.1.13","TLSv1.3","184","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","184"
"340","2025-04-18 19:45:45.052830","104.18.41.183","192.168.1.13","TLSv1.3","81","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:85","90:0f:0c:31:14:3b","","","55","0x4000","0.000000000","81"
"341","2025-04-18 19:45:45.052909","192.168.1.13","104.18.41.183","TCP","54","50502  >  443 [ACK] Seq=2156 Ack=4450 Win=131584 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000079000","54"
"342","2025-04-18 19:45:45.053375","192.168.1.13","104.18.41.183","TCP","1454","50502  >  443 [ACK] Seq=2156 Ack=4450 Win=131584 Len=1400 [TCP segment of a reassembled PDU]","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000466000","1454"
"343","2025-04-18 19:45:45.053375","192.168.1.13","104.18.41.183","TLSv1.3","88","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000000000","88"
